episode,step,state,action,reward,phase
15,0,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",0,-0.0,0
15,1,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",0,-0.0,0
15,2,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",0,-0.0,0
15,3,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",0,-0.0,0
15,4,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",0,-0.0,0
15,5,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",0,-0.0,0
15,6,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",0,-0.0,0
15,7,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",0,-0.0,0
15,8,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",0,-0.0,0
15,9,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",0,-0.0,0
15,10,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",0,-0.0,0
15,11,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0)",0,-8.0,0
15,12,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0)",0,-18.0,0
15,13,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0)",0,-28.0,0
15,14,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0)",0,-38.0,0
15,15,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0)",2,-48.0,2
15,16,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0)",0,-58.0,0
15,17,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0)",2,-68.0,2
15,18,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0)",0,-78.0,0
15,19,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0)",2,-0.0,2
15,20,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",2,-0.0,2
15,21,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",0,-0.0,0
15,22,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",0,-0.0,0
15,23,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",0,-0.0,0
